Resource type,Cloud Provider ,Alert/Finding Name - VMSS,Equivalent in WIZ ?,Expected Configuration in WIZ ,Is the Rule even relevant  today?,If Obsolete : Reasons,Division/Project,No of supresisons for that particular rule as per Project,VM Ware DocumentationLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS Cluster secret should be encrypted with a customer master key,EKS Cluster secrets encryption should be enabled,"If you enable secrets encryption, the Kubernetes secrets are encrypted using the KMS key that you select. KMS ensures data protection and allows you to gain more control for access to the data that you encrypt and assures the durability of the keys.",Yes,,,"Commodity Insights - 40
DTS -4",https://docs.securestate.vmware.com/rule-docs/aws-eks-cluster-secrets-encryption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS cluster should restrict public access,EKS Cluster endpoint public access should be disabled,This rule checks whether the EKS Cluster endpoint public access is enabled.,Yes,,,Commodity Insights - 13,https://docs.securestate.vmware.com/rule-docs/eks-cluster-public-access-check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS control plane should have API logging enabled,EKS Cluster control plane logging should be enabled for all logging types,This rule checks whether the EKS Cluster control plane logging is enabled for all logging types. And assuming all these logging type will be covered under this control in WIZ,Yes,,,Commodity Insights - 15,https://docs.securestate.vmware.com/rule-docs/eks-cluster-api-logging-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS control plane should have audit logging enabled,EKS Cluster control plane logging should be enabled for all logging types,,,,,Commodity Insights - 15,https://docs.securestate.vmware.com/rule-docs/eks-cluster-audit-logging-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS control plane should have authenticator logging enabled,EKS Cluster control plane logging should be enabled for all logging types,,,,,Commodity Insights - 15,https://docs.securestate.vmware.com/rule-docs/eks-cluster-audit-logging-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS control plane should have authenticator logging enabled,EKS Cluster control plane logging should be enabled for all logging types,,,,,Commodity Insights - 10,https://docs.securestate.vmware.com/rule-docs/eks-cluster-authenticator-logging-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS control plane should have controller manager logging enabled,EKS Cluster control plane logging should be enabled for all logging types,,,,,Commodity Insights - 15,https://docs.securestate.vmware.com/rule-docs/eks-cluster-controller-manager-logging-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS control plane should have scheduler logging enabled,EKS Cluster control plane logging should be enabled for all logging types,,,,,Commodity Insights - 15,https://docs.securestate.vmware.com/rule-docs/eks-cluster-scheduler-logging-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS node group should use matching Amazon Machine Image and Kubernetes release versions,,,,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/eks-nodegroup-not-updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS ,AWS,EKS security group should restrict incoming traffic from ports other than TCP port 443,,,,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/eks-cluster-security-group-port-TCP-443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElastiCache,AWS,ElastiCache cluster data is not encrypted at rest,ElastiCache Redis cluster at-rest encryption should be enabled,This rule checks if ElastiCache Redis cluster at-rest encryption is enabled.,Yes,,,Commodity Insights - 1,https://docs.securestate.vmware.com/rule-docs/elasticache-cluster-data-at-rest-encryption-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElastiCache,AWS,ElastiCache cluster has pending security updates,ElastiCache Redis should have auto minor version upgrade enabled,This rule checks whether ElastiCache Redis' minor versions are automatically upgraded. This rule fails if AutoMinorVersionUpgrade is false. This feature enables automatic upgrades to the Redis engine version during the maintenance window.,Yes,,,Commodity Insights - 2,https://docs.securestate.vmware.com/rule-docs/elasticache-security-service-updates-not-applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElastiCache,AWS,ElastiCache cluster in-transit encryption should be enabled,ElastiCache Redis cluster in-transit encryption should be enabled,This rule checks if ElastiCache Redis cluster in-transit encryption is required.,Yes ,,,Commodity Insights - 1,https://docs.securestate.vmware.com/rule-docs/elasticache-cluster-in-transit-encryption-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElastiCache,AWS,ElastiCache cluster should not have authentication disabled,ElastiCache Redis cluster with Redis AUTH should be enabled,This rule checks whether the ElastiCache Redis cluster with Redis AUTH is enabled.,Yes,,,"Commodity Insights - 2
SPDJI - 12",https://docs.securestate.vmware.com/rule-docs/elasticache-cluster-authentication-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch application logging should be enabled,OpenSearch (ElasticSearch) domain logs should be enabled,"This rule checks if the OpenSearch Domain is logging any data,",Yes,,,"Commodity Insights - 8
SPDJI -8",https://docs.securestate.vmware.com/rule-docs/elasticsearch-application-logs-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch data at rest should be encrypted,OpenSearch (ElasticSearch) domain should encrypt data at rest,"This rule checks whether the OpenSearch Service (formerly Amazon Elasticsearch Service) Domain is set to encrypt data at rest, such as sensitive information on your OpenSearch domains and on the storage systems (Indices, Logs, Swap files, automated snapshots, and all other data in the application directory).",Yes,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/elasticsearch-encryption-at-rest-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch domain should require HTTPS requests,OpenSearch (ElasticSearch) domain should be configured with HTTPS,This rule checks whether the OpenSearch Service (formerly Amazon Elasticsearch Service) Domain is configured with HTTPS.,Yes,,,Commodity Insights - 2,https://docs.securestate.vmware.com/rule-docs/elasticsearch-enforce_https-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch index slow logging should be enabled,OpenSearch (ElasticSearch) domain index slow logs should be enabled,"That will help you identify performance issues caused by specific queries or changes in cluster usage.
It is recommended to enable index slow logs to optimize your index configuration in order to address future problems.",,,,"Commodity Insights - 9
SPDJI - 2",https://docs.securestate.vmware.com/rule-docs/elasticserach-slow-logs-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch node to node encryption should be enabled,OpenSearch (ElasticSearch) domain should be set to encrypt node to node,It is recommended to enable node-to-node encryption to ensure that the data that is sent to the OpenSearch domain over HTTPS remains encrypted in-flight while it is being distributed and redistributed through the clusters.,Yes ,,,Commodity Insights - 3,https://docs.securestate.vmware.com/rule-docs/elasticsearch-node-to-node-encryption-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch policy should not allow unrestricted access for all users,OpenSearch (ElasticSearch) domain policy should not be overly permissive,"It is recommended to follow the principle of least privilege (PoLP) and update the resource policy to exclude the permissive statement(s) from the access policy to protect the resource from data leakage and unauthorized access.
",Yes,,,"Commodity Insights - 24
Ratings -16
SPDJI - 31",https://docs.securestate.vmware.com/rule-docs/elasticsearch-all-access-policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch search slow logging should be enabled,OpenSearch (ElasticSearch) domain search slow logs should be enabled,"Enabling search slow logs allows you to publish slow logs from the indexing and search operations performed on your OpenSearch clusters to AWS CloudWatch and gain full insight into the performance of these operations.
This will help you identify performance issues caused by specific queries or changes in cluster usage.
It is recommended to enable search slow logs to optimize your search configuration in order to address future problems.",Yes ,,,"Commodity Insights - 9
SPDJI - 1",https://docs.securestate.vmware.com/rule-docs/elasticserach-slow-logs-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch service domain should restrict public access,OpenSearch (ElasticSearch) domain should not be publicly accessible,"Placing an OpenSearch domain within a VPC enables secure communication between OpenSearch Service and other services within the VPC without the need for an internet gateway, NAT device, or VPN connection.
It is recommended to use a VPC access instead of a public one to secure all traffic within the AWS cloud.",Yes,,,"Commodity Insights - 2
SPDJI - 3",https://docs.securestate.vmware.com/rule-docs/elasticsearch-publicly-accessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elasticsearch,AWS,OpenSearch zone awareness should be enabled,OpenSearch (ElasticSearch) domain zone awareness should be enabled,"This rule checks whether the OpenSearch Service (formerly Amazon Elasticsearch Service) Domain has Zone Awareness enabled.
This rule fails if the ZoneAwarenessConfig does not exist or ZoneAwarenessEnabled is false.
Distributing data nodes across two or three availability zones in the same AWS region helps to prevent data loss and minimize OpenSearch cluster downtime in the event of a service disruption.",Yes,,,"Commodity Insights - 10
DTS -2
Kensho -1
MI -9
Ratings -3
SPDJI -2
Sustainable1 - 1",https://docs.securestate.vmware.com/rule-docs/elasticsearch-zone-awareness-enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELB,AWS,Classic Load Balancer should be attached to one or more instances,Classic Load Balancer should be associated with a registered EC2 instance,This rule checks whether the ELBv1 is associated with a registered EC2 instance.,Yes,,,Commodity Insights - 13,https://docs.securestate.vmware.com/rule-docs/elb-no-instances-attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELB,AWS,Classic Load Balancer should have access logs enabled,Classic Load Balancer access logging should be enabled,This rule checks whether the Classic Load Balancer has the Access Logging feature enabled.,Yes,,,"Commodity Insights - 119
DTS -1
Ratings -77",https://docs.securestate.vmware.com/rule-docs/elb-access-logs-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELB,AWS,Classic Load Balancer should have connection draining enabled,Classic Load Balancer should have connection draining enabled,"This rule checks whether the load balancer is configured with connection draining, which ensures that the load balancer stops sending requests to unhealthy instances, while keeping the existing connections open. When disabled, connections to unhealthy instances are immediately closed and some requests may not be completed.
",Yes,,,Commodity Insights - 99,https://docs.securestate.vmware.com/rule-docs/elb-connection-draining-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELB,AWS,Classic Load Balancer should have cross-zone load balancing enabled,Classic Load Balancer cross-zone load balancing should be enabled,"This rule checks whether cross-zone load balancing is enabled on the load balancer. When enabled, traffic is distributed to instances registered in all enabled Availability Zones, providing better fault tolerance and more consistent traffic flow. When disabled, the load balancer distributes traffic to targets within its Availability Zone only.",Yes,,,Commodity Insights - 98,https://docs.securestate.vmware.com/rule-docs/elb-cross-zone-loadbalancing-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELB,AWS,Classic Load Balancer should not use a default VPC,Default VPC should not exist,,Yes,,,Commodity Insights - 9,https://docs.securestate.vmware.com/rule-docs/elb-default-vpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELB,AWS,Classic Load Balancer should use a secure listening protocol,Elastic Load Balancer should use SSL listeners,,,,,Commodity Insights - 22,https://docs.securestate.vmware.com/rule-docs/elb-insecure-listener-internet-facing-loadbalancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
